State,City,Population,Squarekms,Mayor,
Tamilnadu,Chennai,8696010,178.2,Saidai Duraisamy,
Tamilnadu,Coimbatore,2151466,7469,S.M. Velusamy,
Tamilnadu,Madurai,1462420,3741.73,V.V.Rajanchellappa,
Tamilnadu,Tiruchirappalli,1021717,4407,A.Jaya,
Tamilnadu,Tiruppur,962982,5186.34,A.Visalakshi,
Tamilnadu,Salem,919150,5205,S.Soundappan,
Tamilnadu,Erode,821776,8161.96,P.Malliga Paramasivam,
Tamilnadu,Vellore,498984,6077,P.Karthiyayini,
Tamilnadu,Tirunelveli,481966,6810,E.Bhuvaneshwari,
Tamilnadu,Thoothukkudi,410760,4621,A.PR.Antony,
,,,,,
